region,text_type,source,ttr,unique_ratio,hapax_ratio,avg_freq,n_words,n_unique
Екатеринбург,smi,e1.ru,0.653,0.715,0.78,1.4,213,139
Екатеринбург,smi,e1.ru,0.571,0.667,0.765,1.5,396,226
Екатеринбург,smi,e1.ru,0.615,0.715,0.747,1.4,416,256
Екатеринбург,smi,e1.ru,0.657,0.758,0.79,1.32,210,138
Екатеринбург,smi,e1.ru,0.606,0.719,0.765,1.39,221,134
Екатеринбург,smi,e1.ru,0.606,0.678,0.695,1.48,155,94
Екатеринбург,smi,e1.ru,0.689,0.77,0.787,1.3,151,104
Екатеринбург,smi,e1.ru,0.565,0.703,0.782,1.42,444,251
Екатеринбург,smi,e1.ru,0.583,0.66,0.753,1.52,192,112
Екатеринбург,smi,e1.ru,0.594,0.742,0.785,1.35,458,272
Екатеринбург,smi,e1.ru,0.623,0.689,0.768,1.45,260,162
Екатеринбург,smi,e1.ru,0.534,0.706,0.769,1.42,468,250
Екатеринбург,smi,e1.ru,0.536,0.589,0.691,1.7,336,180
Екатеринбург,smi,e1.ru,0.67,0.781,0.811,1.28,373,250
Екатеринбург,smi,e1.ru,0.596,0.702,0.75,1.43,418,249
Екатеринбург,smi,e1.ru,0.596,0.672,0.715,1.49,270,161
Екатеринбург,smi,e1.ru,0.46,0.519,0.518,1.93,278,128
Екатеринбург,smi,e1.ru,0.889,0.893,0.92,1.12,36,32
Екатеринбург,smi,e1.ru,0.594,0.636,0.722,1.57,320,190
Екатеринбург,smi,e1.ru,0.659,0.767,0.808,1.3,390,257
Екатеринбург,smi,e1.ru,0.644,0.739,0.809,1.35,374,241
Екатеринбург,smi,e1.ru,0.615,0.708,0.753,1.41,273,168
Екатеринбург,smi,e1.ru,0.671,0.803,0.827,1.25,410,275
Екатеринбург,smi,e1.ru,0.556,0.628,0.739,1.59,414,230
Екатеринбург,smi,e1.ru,0.657,0.729,0.766,1.37,169,111
Екатеринбург,smi,e1.ru,0.61,0.73,0.817,1.37,423,258
Екатеринбург,smi,e1.ru,0.605,0.684,0.708,1.46,205,124
Екатеринбург,smi,e1.ru,0.736,0.885,0.897,1.13,182,134
Екатеринбург,smi,e1.ru,0.638,0.72,0.793,1.39,354,226
Екатеринбург,smi,e1.ru,0.63,0.667,0.761,1.5,162,102
Новосибирск,smi,ngs.ru,0.824,0.895,0.912,1.12,51,42
Новосибирск,smi,ngs.ru,0.586,0.701,0.735,1.43,394,231
Новосибирск,smi,ngs.ru,0.824,0.895,0.912,1.12,51,42
Новосибирск,smi,ngs.ru,0.572,0.671,0.757,1.49,435,249
Новосибирск,smi,ngs.ru,0.824,0.895,0.912,1.12,51,42
Новосибирск,smi,ngs.ru,0.705,0.802,0.835,1.25,410,289
Новосибирск,smi,ngs.ru,0.616,0.778,0.796,1.29,443,273
Новосибирск,smi,ngs.ru,0.49,0.576,0.737,1.74,400,196
Новосибирск,smi,ngs.ru,0.696,0.76,0.801,1.32,217,151
Новосибирск,smi,ngs.ru,0.659,0.736,0.728,1.36,179,118
Новосибирск,smi,ngs.ru,0.525,0.576,0.663,1.74,339,178
Новосибирск,smi,ngs.ru,0.596,0.644,0.705,1.55,203,121
