n_sentences,avg_sent_length,complex_ratio,verb_ratio,noun_ratio,avg_word_length,text_type,region,source
13,25.08,0.54,0.1,0.28,4.49,smi,Екатеринбург,e1.ru
25,21.52,0.48,0.08,0.23,4.79,smi,Екатеринбург,e1.ru
22,23.0,0.55,0.09,0.28,5.06,smi,Екатеринбург,e1.ru
14,19.79,0.57,0.11,0.29,4.82,smi,Екатеринбург,e1.ru
16,20.0,0.69,0.13,0.23,4.53,smi,Екатеринбург,e1.ru
15,15.67,0.4,0.1,0.21,4.44,smi,Екатеринбург,e1.ru
15,13.27,0.33,0.13,0.26,4.72,smi,Екатеринбург,e1.ru
27,20.15,0.67,0.14,0.26,4.67,smi,Екатеринбург,e1.ru
16,16.94,0.19,0.08,0.22,4.72,smi,Екатеринбург,e1.ru
30,19.03,0.73,0.11,0.25,4.4,smi,Екатеринбург,e1.ru
14,22.14,0.64,0.12,0.32,5.66,smi,Екатеринбург,e1.ru
45,13.22,0.6,0.1,0.17,4.24,smi,Екатеринбург,e1.ru
20,23.05,0.55,0.05,0.26,5.31,smi,Екатеринбург,e1.ru
27,16.19,0.78,0.1,0.32,6.01,smi,Екатеринбург,e1.ru
25,19.64,0.56,0.11,0.3,5.24,smi,Екатеринбург,e1.ru
15,24.2,0.4,0.09,0.27,4.92,smi,Екатеринбург,e1.ru
21,20.0,0.57,0.05,0.18,4.74,smi,Екатеринбург,e1.ru
2,21.5,0.5,0.12,0.42,6.21,smi,Екатеринбург,e1.ru
11,36.09,0.91,0.03,0.4,6.74,smi,Екатеринбург,e1.ru
28,16.93,0.61,0.12,0.31,5.49,smi,Екатеринбург,e1.ru
30,16.43,0.57,0.12,0.25,5.28,smi,Екатеринбург,e1.ru
22,16.14,0.73,0.11,0.22,4.78,smi,Екатеринбург,e1.ru
23,22.22,0.78,0.11,0.21,5.04,smi,Екатеринбург,e1.ru
26,20.12,0.62,0.08,0.21,4.9,smi,Екатеринбург,e1.ru
14,16.86,0.64,0.12,0.22,4.55,smi,Екатеринбург,e1.ru
28,19.07,0.5,0.11,0.21,4.8,smi,Екатеринбург,e1.ru
15,19.8,0.6,0.15,0.21,4.8,smi,Екатеринбург,e1.ru
12,18.92,0.58,0.14,0.22,4.72,smi,Екатеринбург,e1.ru
18,22.78,0.72,0.1,0.34,6.44,smi,Екатеринбург,e1.ru
10,24.2,0.6,0.1,0.21,5.33,smi,Екатеринбург,e1.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Новосибирск,ngs.ru
23,20.61,0.7,0.12,0.29,5.46,smi,Новосибирск,ngs.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Новосибирск,ngs.ru
20,26.8,0.75,0.08,0.25,4.79,smi,Новосибирск,ngs.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Новосибирск,ngs.ru
28,19.18,0.71,0.12,0.25,4.79,smi,Новосибирск,ngs.ru
30,18.53,0.67,0.12,0.21,4.58,smi,Новосибирск,ngs.ru
39,16.59,0.51,0.09,0.23,3.94,smi,Новосибирск,ngs.ru
13,21.77,0.62,0.13,0.29,5.57,smi,Новосибирск,ngs.ru
11,21.27,0.36,0.11,0.24,5.17,smi,Новосибирск,ngs.ru
20,23.95,0.55,0.05,0.25,5.21,smi,Новосибирск,ngs.ru
16,18.12,0.06,0.09,0.25,4.94,smi,Новосибирск,ngs.ru
31,17.1,0.71,0.18,0.21,4.82,smi,Новосибирск,ngs.ru
22,18.91,0.45,0.12,0.31,6.32,smi,Новосибирск,ngs.ru
30,19.03,0.73,0.11,0.25,4.4,smi,Новосибирск,ngs.ru
11,36.09,0.91,0.03,0.4,6.74,smi,Новосибирск,ngs.ru
28,16.93,0.61,0.12,0.31,5.49,smi,Новосибирск,ngs.ru
10,22.6,0.2,0.1,0.23,4.93,smi,Новосибирск,ngs.ru
16,21.12,0.88,0.1,0.27,5.15,smi,Новосибирск,ngs.ru
24,21.46,0.38,0.06,0.31,4.84,smi,Новосибирск,ngs.ru
45,13.22,0.6,0.1,0.17,4.24,smi,Новосибирск,ngs.ru
23,22.22,0.78,0.11,0.21,5.04,smi,Новосибирск,ngs.ru
26,20.12,0.62,0.08,0.21,4.9,smi,Новосибирск,ngs.ru
13,23.0,0.31,0.07,0.28,5.11,smi,Новосибирск,ngs.ru
18,22.78,0.72,0.1,0.34,6.44,smi,Новосибирск,ngs.ru
19,19.89,0.47,0.09,0.26,5.0,smi,Новосибирск,ngs.ru
10,24.1,0.6,0.1,0.2,5.31,smi,Новосибирск,ngs.ru
22,16.91,0.73,0.12,0.23,4.85,smi,Новосибирск,ngs.ru
19,16.26,0.42,0.11,0.28,4.88,smi,Новосибирск,ngs.ru
28,19.07,0.5,0.11,0.21,4.8,smi,Новосибирск,ngs.ru
24,21.71,0.62,0.1,0.29,4.97,smi,Челябинск,74.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Челябинск,74.ru
19,27.11,0.63,0.1,0.25,4.98,smi,Челябинск,74.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Челябинск,74.ru
27,18.63,0.63,0.12,0.25,5.13,smi,Челябинск,74.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Челябинск,74.ru
26,20.58,0.81,0.1,0.26,4.79,smi,Челябинск,74.ru
20,24.95,0.6,0.12,0.27,5.17,smi,Челябинск,74.ru
35,16.6,0.49,0.12,0.23,4.34,smi,Челябинск,74.ru
14,31.93,0.64,0.11,0.26,5.83,smi,Челябинск,74.ru
30,19.03,0.73,0.11,0.25,4.4,smi,Челябинск,74.ru
2,28.5,0.5,0.09,0.42,5.88,smi,Челябинск,74.ru
45,13.22,0.6,0.1,0.17,4.24,smi,Челябинск,74.ru
20,22.15,0.55,0.05,0.27,5.39,smi,Челябинск,74.ru
10,17.2,0.4,0.15,0.32,4.83,smi,Челябинск,74.ru
4,32.5,1.0,0.11,0.29,4.99,smi,Челябинск,74.ru
2,36.5,0.5,0.1,0.37,5.33,smi,Челябинск,74.ru
11,36.09,0.91,0.03,0.4,6.74,smi,Челябинск,74.ru
28,16.93,0.61,0.12,0.31,5.49,smi,Челябинск,74.ru
7,21.43,0.57,0.09,0.26,5.51,smi,Челябинск,74.ru
21,14.38,0.76,0.12,0.25,4.84,smi,Челябинск,74.ru
22,21.95,0.68,0.1,0.28,5.37,smi,Челябинск,74.ru
23,22.22,0.78,0.11,0.21,5.04,smi,Челябинск,74.ru
30,17.0,0.6,0.14,0.29,5.05,smi,Челябинск,74.ru
26,20.12,0.62,0.08,0.21,4.9,smi,Челябинск,74.ru
25,18.88,0.44,0.08,0.28,5.49,smi,Челябинск,74.ru
4,15.25,0.25,0.13,0.36,6.16,smi,Челябинск,74.ru
18,25.0,0.78,0.1,0.31,5.83,smi,Челябинск,74.ru
